date,channel,target,url,status,response,install_signal,user_type,objection,feature_request,next_follow_up,notes
2026-05-26,email,garrett@dreyerelectric.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d177a41f168,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,petekluesner@yahoo.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d19be5203b2,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,lance@lancecotnerelectric.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d1b85fe5c9c,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,msielectriclynn@gmail.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d1d39a4f730,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,troy@nussbaumelectrical.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d1f1ad70b88,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,hudgarrett_plc@yahoo.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d221bea23e0,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,mark@rileyelectriccompany.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d23c763712d,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,schlosser_21@hotmail.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65d25a097c56e,,electrical contractor,,,,"Advert sent from Gmail as individual outreach."
2026-05-26,email,office@shawneeelectric.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65e67041eb095,,electrical contractor,,,,"Advert sent from Gmail as individual outreach after reconnect."
2026-05-26,email,totalelectric@totalelectco.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65e688816cd4d,,electrical contractor,,,,"Advert sent from Gmail as individual outreach after reconnect."
2026-05-26,email,morriselectricalservice@gmail.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65e6a04eb2ec0,,electrical contractor,,,,"Advert sent from Gmail as individual outreach after reconnect."
2026-05-26,email,operations@816SOLARPROS.COM,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65e6b97e330b0,,solar contractor,,,,"Advert sent from Gmail as individual outreach after reconnect."
2026-05-26,email,ADMIN@AAELECTRICALINC.COM,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65e6d2710f3f5,,electrical contractor,,,,"Advert sent from Gmail as individual outreach after reconnect."
2026-05-26,email,JStapleton@AidenMorrisElectric.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65e6f1bcaa5a0,,electrical contractor,,,,"Advert sent from Gmail as individual outreach after reconnect."
2026-05-26,email,office@arrowcircleelectric.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65e70bb405373,,electrical contractor,,,,"Advert sent from Gmail as individual outreach after reconnect."
2026-05-26,email,permits@bearpawelectric.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65e728cf162b7,,electrical contractor,,,,"Advert sent from Gmail as individual outreach after reconnect."
2026-05-26,email,contact@bickimerelectric.com,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65e740364a7d9,,electrical contractor,,,,"Advert sent from Gmail as individual outreach after reconnect."
2026-05-26,email,caseyelectricinc@sbcglobal.net,https://play.google.com/store/apps/details?id=com.fieldbill.app,sent,message_id 19e65e758cae3839,,electrical contractor,,,,"Advert sent from Gmail as individual outreach after reconnect."
2026-05-26,planning,100 public forum advert queue,docs/public-forum-100-adverts.csv,ready,,,,,,,Created 100-placement public forum/directory queue; post URLs must be logged after each real public submission.
2026-05-26,planning,100 country-targeted public advert queue,docs/public-forum-100-country-adverts.csv,ready,,,,,,,Created second 100-placement country-targeted public forum/directory queue; post URLs must be logged after each real public submission.
